,t,x,y,z,vx,vy,vz,QE,v_mag
3735,37.35000000000114,13546.323567441332,4017.8782562925758,124.00374201371099,243.01003514034184,-122.60702234009617,5.431954161542328,-475.9561665826954,272.18809508502574
3736,37.360000000001136,13548.75328039109,4016.651107998552,124.05807142117519,242.97129497585726,-122.71482940237982,5.4329407464192805,-476.38163988990743,272.2020931908868
3737,37.370000000001134,13551.182606006796,4015.4228814461435,124.11241069641784,242.93256157059116,-122.82265524086286,5.433927524265719,-476.8071206529891,272.21615328937577
3738,37.38000000000113,13553.61154435598,4014.1935764473405,124.16675984137251,242.8938349182656,-122.93049988029718,5.434914495466829,-477.2326087475637,272.2302753958887
3739,37.39000000000113,13556.040095506105,4012.963192813886,124.22111885797659,242.85511501260632,-123.03836334546303,5.435901660408055,-477.65810404928544,272.24445952583943
3740,37.40000000000113,13558.468259524578,4011.7317303572745,124.27548774817134,242.81640184734255,-123.1462456611691,5.4368890194750925,-478.0836064338399,272.25870569465934
3741,37.410000000001126,13560.89603647874,4010.499188888752,124.32986651390188,242.7776954162072,-123.25414685225257,5.437876573053895,-478.50911577694444,272.2730139177978
3742,37.420000000001124,13563.323426435869,4009.2655682193163,124.38425515711718,242.73899571293677,-123.36206694357914,5.438864321530672,-478.934631954348,272.2873842107218
3743,37.43000000000112,13565.750429463182,4008.0308681597157,124.4386536797701,242.70030273127136,-123.47000596004308,5.439852265291888,-479.360154841832,272.3018165889163
3744,37.44000000000112,13568.177045627832,4006.79508852045,124.49306208381734,242.66161646495468,-123.57796392656734,5.440840404724265,-479.7856843152101,272.3163110678843
3745,37.45000000000112,13570.603274996909,4005.558229111769,124.54748037121948,242.62293690773396,-123.68594086810349,5.441828740214783,-480.21122025032855,272.3308676631466
3746,37.460000000001116,13573.029117637443,4004.3202897436727,124.60190854394098,242.58426405336007,-123.79393680963187,5.442817272150678,-480.6367625230665,272.34548639024194
3747,37.470000000001114,13575.454573616398,4003.081270225911,124.65634660395017,242.54559789558746,-123.90195177616161,5.443806000919446,-481.06231100933616,272.3601672647274
3748,37.48000000000111,13577.87964300068,4001.8411703679835,124.71079455321926,242.50693842817412,-124.00998579273065,5.444794926908841,-481.48786558508334,272.37491030217797
3749,37.49000000000111,13580.304325857129,4000.5999899791395,124.76525239372432,242.46828564488163,-124.1180388844058,5.445784050506876,-481.9134261262871,272.3897155181869
3750,37.50000000000111,13582.728622252524,3999.357728868377,124.81972012744534,242.42963953947515,-124.22611107628286,5.446773372101822,-482.33899250896053,272.4045829283656
3751,37.51000000000111,13585.15253225358,3998.114386844442,124.87419775636616,242.39100010572335,-124.33420239348656,5.447762892082212,-482.764564609151,272.41951254834385
3752,37.520000000001104,13587.576055926955,3996.86996371583,124.92868528247453,242.35236733739848,-124.44231286117069,5.448752610836837,-483.1901423029401,272.4345043937695
3753,37.5300000000011,13589.999193339238,3995.624459290785,124.98318270776208,242.31374122827634,-124.55044250451813,5.449742528754752,-483.6157254664438,272.44955848030907
3754,37.5400000000011,13592.42194455696,3994.377873377298,125.03769003422434,242.2751217721363,-124.65859134874088,5.450732646225269,-484.0413139758133,272.4646748236473
3755,37.5500000000011,13594.844309646587,3993.130205783107,125.09220726386071,242.2365089627612,-124.76675941908016,5.451722963637965,-484.46690770723467,272.4798534394874
3756,37.5600000000011,13597.266288674526,3991.881456315699,125.14673439867454,242.19790279393752,-124.87494674080641,5.452713481382677,-484.89250653692955,272.49509434355116
3757,37.570000000001095,13599.687881707121,3990.6316247823065,125.20127144067304,242.15930325945516,-124.98315333921936,5.453704199849504,-485.3181103411547,272.51039755157893
3758,37.58000000000109,13602.109088810652,3989.38071098991,125.25581839186732,242.12071035310763,-125.09137923964808,5.454695119428809,-485.74371899620326,272.5257630793296
3759,37.59000000000109,13604.529910051338,3988.1287147452354,125.31037525427243,242.08212406869194,-125.19962446745105,5.455686240511219,-486.169332378404,272.5411909425809
3760,37.60000000000109,13606.95034549534,3986.8756358547553,125.36494202990731,242.04354440000859,-125.3078890480162,5.456677563487622,-486.59495036412244,272.556681157129
3761,37.61000000000109,13609.370395208747,3985.6214741246877,125.4195187207948,242.0049713408616,-125.41617300676093,5.457669088749173,-487.0205728297603,272.572233738789
3762,37.620000000001085,13611.790059257597,3984.3662293609964,125.47410532896167,241.96640488505852,-125.52447636913222,5.4586608166872885,-487.4461996517564,272.5878487033949
3763,37.63000000000108,13614.209337707862,3983.10990136939,125.5287018564386,241.9278450264104,-125.63279916060664,5.459652747693654,-487.87183070658637,272.6035260667994
3764,37.64000000000108,13616.628230625449,3981.852489955323,125.5833083052602,241.88929175873182,-125.7411414066904,5.460644882160216,-488.29746587076323,272.61926584487423
3765,37.65000000000108,13619.046738076207,3980.5939949239937,125.637924677465,241.85074507584073,-125.84950313291945,5.46163722047919,-488.72310502083786,272.63506805350994
3766,37.66000000000108,13621.464860125923,3979.334416080345,125.69255097509543,241.8122049715587,-125.95788436485947,5.462629763043056,-489.1487480333985,272.6509327086163
3767,37.670000000001075,13623.88259684032,3978.0737532290636,125.74718720019787,241.7736714397108,-126.06628512810596,5.463622510244562,-489.57439478507155,272.66685982612216
3768,37.68000000000107,13626.299948285061,3976.812006174581,125.80183335482263,241.73514447412543,-126.17470544828429,5.464615462476722,-490.0000451525219,272.68284942197516
3769,37.69000000000107,13628.716914525747,3975.5491747210704,125.85648944102397,241.6966240686346,-126.28314535104973,5.4656086201328185,-490.4256990124529,272.6989015121426
3770,37.70000000000107,13631.133495627917,3974.2852586724493,125.91115546086003,241.65811021707376,-126.39160486208752,5.466601983606401,-490.8513562416064,272.71501611261056
3771,37.71000000000107,13633.54969165705,3973.0202578323783,125.96583141639294,241.6196029132818,-126.50008400711293,5.467595553291288,-491.2770167167635,272.7311932393847
3772,37.720000000001065,13635.96550267856,3971.7541720042595,126.02051730968876,241.58110215110108,-126.60858281187132,5.468589329581566,-491.7026803147449,272.74743290848994
3773,37.73000000000106,13638.380928757804,3970.4870009912383,126.07521314281747,241.54260792437745,-126.71710130213813,5.469583312871594,-492.1283469124102,272.7637351359705
3774,37.74000000000106,13640.795969960074,3969.2187445962013,126.12991891785303,241.50412022696017,-126.82563950371903,5.4705775035559965,-492.55401638665904,272.78009993789016
3775,37.75000000000106,13643.210626350601,3967.9494026217767,126.18463463687333,241.465639052702,-126.93419744244989,5.4715719020296705,-492.97968861443104,272.796527330332
3776,37.76000000000106,13645.624897994556,3966.6789748703345,126.2393603019602,241.42716439545907,-127.04277514419687,5.472566508687784,-493.4053634727061,272.81301732939903
3777,37.770000000001055,13648.038784957047,3965.407461143986,126.29409591519946,241.38869624909105,-127.15137263485647,5.473561323925775,-493.8310408385045,272.82956995121344
3778,37.78000000000105,13650.452287303122,3964.134861244582,126.34884147868085,241.35023460746095,-127.25998994035561,5.4745563481393535,-494.2567205888875,272.84618521191726
3779,37.79000000000105,13652.865405097766,3962.8611749737156,126.4035969944981,241.31177946443526,-127.36862708665163,5.475551581724501,-494.6824026009572,272.8628631276722
