,t,x,y,z,vx,vy,QE,v_mag
0,0.0,0.0,1379.0,0,614.8503441539422,295.0983807034172,455.79999999999995,682.0
1,0.01,6.146529371040373,1381.9491344049338,0,614.6529371040373,294.9134404933864,455.67850885788675,681.742011668832
2,0.02,12.291086623347983,1384.8964201351068,0,614.455725230761,294.7285730173068,455.5568975875327,681.484240479322
3,0.03,18.433673705485734,1387.8418579167294,0,614.2587082137752,294.54377816226173,455.43516622199087,681.2266861115729
4,0.04,24.574292562820112,1390.7854484748848,0,614.0618857334377,294.35905581554545,455.31331479419197,680.9693482463987
5,0.05,30.71294513752812,1393.7271925335315,0,613.8652574708008,294.1744058646625,455.1913433369445,680.712226565323
6,0.060000000000000005,36.84963336860421,1396.6670908155047,0,613.6688231076088,293.9898281973273,455.06925188293474,680.4553207505777
7,0.07,42.98435919186718,1399.6051440425194,0,613.4725823262966,293.8053227014637,454.9470404647276,680.1986304851002
8,0.08,49.11712453996705,1402.5413529351715,0,613.2765348099874,293.6208892652043,454.8247091147666,679.9421554525319
9,0.09,55.247931342391965,1405.4757182129404,0,613.0806802424913,293.4365277768902,454.7022578653742,679.6858953372165
10,0.09999999999999999,61.376781525474996,1408.408240594191,0,612.885018308303,293.25223812507033,454.579686748752,679.4298498241977
11,0.10999999999999999,67.503677012401,1411.3389207961761,0,612.6895486925999,293.0680201985011,454.4569957969812,679.1740185992179
12,0.11999999999999998,73.6286197232134,1414.2677595350376,0,612.494271081241,292.88387388614564,454.33418504202274,678.9184013487161
13,0.12999999999999998,79.75161157482104,1417.1947575258093,0,612.2991851607637,292.69979907717374,454.21125451571766,678.6629977598257
14,0.13999999999999999,85.87265448100487,1420.119915482419,0,612.1042906183835,292.515795660961,454.0882042497873,678.4078075203731
15,0.15,91.99175035242477,1423.0432341176897,0,611.9095871419908,292.33186352708844,453.9650342758337,678.1528303188757
16,0.16,98.10890109662627,1425.9647141433431,0,611.7150744201499,292.14800256534215,453.8417446253397,677.8980658445403
17,0.17,104.22410861804724,1428.8843562700004,0,611.5207521420969,291.9642126657127,453.71833532966957,677.6435137872608
18,0.18000000000000002,110.33737481802461,1431.8021612071843,0,611.3266199977378,291.78049371839455,453.59480642006866,677.3891738376165
19,0.19000000000000003,116.44870159480108,1434.718129663322,0,611.1326776776468,291.59684561378583,453.4711579276647,677.1350456868707
20,0.20000000000000004,122.55809084353173,1437.632262345747,0,610.9389248730646,291.4132682424877,453.34738988346686,676.8811290269689
21,0.21000000000000005,128.6655444562907,1440.5445599607,0,610.7453612758962,291.2297614953038,453.223502318367,676.627423550536
22,0.22000000000000006,134.7710643220778,1443.4550232133324,0,610.5519865787097,291.04632526324,453.09949526313903,676.373928950876
23,0.23000000000000007,140.87465232682513,1446.3636528077075,0,610.3588004747338,290.8629594375038,452.9753687484406,676.1206449219687
24,0.24000000000000007,146.9763103534037,1449.2704494468026,0,610.1658026578565,290.6796639095037,452.85112280481184,675.8675711584691
25,0.25000000000000006,153.07604028162993,1452.1754138325111,0,609.9729928226232,290.496438570849,452.72675746267635,675.614707355705
26,0.26000000000000006,159.17384398827227,1455.0785466656446,0,609.7803706642347,290.31328331334925,452.6022727523415,675.3620532096754
27,0.2700000000000001,165.26972334705772,1457.9798486459347,0,609.5879358785461,290.1301980290137,452.47766870399886,675.1096084170489
28,0.2800000000000001,171.36368022867836,1460.8793204720353,0,609.3956881620641,289.94718261005085,452.3529453477241,674.8573726751615
29,0.2900000000000001,177.45571650079782,1463.776962841524,0,609.2036272119458,289.7642369488681,452.22810271347697,674.6053456820151
30,0.3000000000000001,183.54583402805778,1466.6727764509046,0,609.011752725997,289.58136093807104,452.1031408311027,674.3535271362762
31,0.3100000000000001,189.63403467208448,1469.5667619956093,0,608.8200644026703,289.3985544704634,451.97805973033087,674.101916737273
32,0.3200000000000001,195.7203202914951,1472.4589201699998,0,608.6285619410631,289.21581743904613,451.852859440777,673.850514184995
33,0.3300000000000001,201.8046927419043,1475.34925166737,0,608.4372450409164,289.0331497370172,451.7275399919418,673.5993191800903
34,0.34000000000000014,207.8871538759304,1478.2377571799477,0,608.2461134026127,288.85055125777114,451.602101413212,673.3483314238644
35,0.35000000000000014,213.96770554320216,1481.1244373988968,0,608.0551667271742,288.66802189489846,451.4765437338601,673.097550618278
36,0.36000000000000015,220.04634959036477,1484.0092930143187,0,607.8644047162614,288.48556154218534,451.35086698304576,672.8469764659458
37,0.37000000000000016,226.12308786108647,1486.8923247152547,0,607.6738270721714,288.303170093613,451.2250711898144,672.5966086701345
38,0.38000000000000017,232.19792219606484,1489.7735331896884,0,607.4834334978356,288.12084744335743,451.09915638309894,672.3464469347612
39,0.3900000000000002,238.27085443303304,1492.6529191245463,0,607.2932236968186,287.93859348578883,450.9731225917193,672.0964909643916
40,0.4000000000000002,244.3418864067662,1495.530483205701,0,607.1031973733163,287.7564081154711,450.8469698443827,671.8467404642382
41,0.4100000000000002,250.41101994908774,1498.4062261179727,0,606.9133542321543,287.5742912271616,450.7206981696844,671.597195140159
42,0.4200000000000002,256.4782568888756,1501.2801485451307,0,606.7236939787861,287.39224271581054,450.5943075961075,671.3478546986555
43,0.4300000000000002,262.5435990520685,1504.1522511698963,0,606.5342163192912,287.21026247656044,450.467798152023,671.098718846871
44,0.4400000000000002,268.6070482616722,1507.0225346739437,0,606.3449209603741,287.02835040474594,450.3411698656908,670.849787292589
45,0.45000000000000023,274.6686063377658,1509.8909997379026,0,606.1558076093619,286.84650639589313,450.2144227652594,670.6010597442319
